,day,time,room
0,Tu,06:00PM - 07:20PM,TBA
1,Tu,06:00PM - 07:20PM,Lecture Theater C (213)
2,Tu,06:00PM - 07:20PM,TBA
3,Tu,09:30AM - 12:50PM,"Rm 2003, LSK Bldg"
4,Th,07:00PM - 10:20PM,TBA
5,Tu,07:00PM - 10:20PM,TBA
6,Tu,09:30AM - 12:20PM,Rm 6580
7,Tu,02:00PM - 04:20PM,Rm 6580
8,Th,09:00AM - 12:20PM,Rm 6580
9,Th,02:00PM - 04:20PM,Rm 6580
10,Th,09:30AM - 12:50PM,"Rm 2003, LSK Bldg"
11,Th,09:30AM - 12:50PM,"Rm 2003, LSK Bldg"
12,Th,02:00PM - 05:20PM,"Rm 2003, LSK Bldg"
13,Tu,09:30AM - 12:50PM,"Rm 3003, LSK Bldg"
14,Th,07:00PM - 10:20PM,TBA
15,Tu,07:00PM - 10:20PM,TBA
16,Tu,02:00PM - 05:20PM,"G009, LSK Bldg"
17,Tu,02:00PM - 05:20PM,"G021, LSK Bldg"
18,Th,03:00PM - 04:20PM,"Rm 1011, LSK Bldg (80)"
19,Th,09:30AM - 12:50PM,"Rm 2001, LSK Bldg"
20,Th,07:00PM - 10:20PM,"G001, LSK Bldg (70)"
21,Tu,08:00PM - 10:20PM,"Rm 4621, Lift 31-32 (126)"
22,Th,02:30PM - 05:50PM,"Rm 1001, LSK Bldg (70)"
23,Tu,09:30AM - 12:50PM,"Rm 2003, LSK Bldg"
24,Th,06:30PM - 09:50PM,TBA
25,Tu,07:00PM - 09:50PM,"Rm 5501, Lift 25-26 (20)"
26,We,01:30PM - 02:50PM,"Rm 2129C, Lift 19 (28)"
27,Fr,01:30PM - 02:50PM,"Rm 2129C, Lift 19 (28)"
28,Fr,01:30PM - 02:50PM,"Rm 2129C, Lift 19 (28)"
29,We,01:30PM - 02:50PM,"Rm 2129C, Lift 19 (28)"
30,Fr,01:30PM - 02:50PM,"Rm 2129C, Lift 19 (28)"
31,Fr,01:30PM - 02:50PM,"Rm 2129C, Lift 19 (28)"
32,Mo,09:00AM - 10:20AM,"Rm 2128A, Lift 19 (28)"
33,We,09:00AM - 10:20AM,"Rm 2128A, Lift 19 (28)"
34,We,09:00AM - 10:20AM,"Rm 2128A, Lift 19 (28)"
35,Mo,09:00AM - 10:20AM,"Rm 2128A, Lift 19 (28)"
36,We,09:00AM - 10:20AM,"Rm 2128A, Lift 19 (28)"
37,We,09:00AM - 10:20AM,"Rm 2128A, Lift 19 (28)"
38,We,04:30PM - 05:50PM,"Rm 2130A, Lift 19 (28)"
39,Fr,04:30PM - 05:50PM,"Rm 2130A, Lift 19 (28)"
40,Fr,04:30PM - 05:50PM,"Rm 2130A, Lift 19 (28)"
41,We,04:30PM - 05:50PM,"Rm 2130A, Lift 19 (28)"
42,Fr,04:30PM - 05:50PM,"Rm 2130A, Lift 19 (28)"
43,Fr,04:30PM - 05:50PM,"Rm 2130A, Lift 19 (28)"
44,Th,01:30PM - 04:20PM,"Rm 5506, Lift 25-26 (30)"
45,Tu,05:30PM - 08:20PM,"Rm 5506, Lift 25-26 (30)"
46,Th,01:30PM - 04:20PM,"Rm 5564, Lift 27-28 (30)"
47,Tu,05:30PM - 08:20PM,"Rm 5564, Lift 27-28 (30)"
48,Tu,01:30PM - 02:20PM,"Rm 4160, Lift 33"
49,Th,05:00PM - 05:50PM,"Rm 4160, Lift 33"
50,Th,09:30AM - 12:50PM,"Rm 2001, LSK Bldg"
51,Tu,02:00PM - 05:20PM,"Rm 2001, LSK Bldg"
52,Th,10:00AM - 12:20PM,"Rm 2001, LSK Bldg"
53,Th,09:30AM - 12:50PM,"G003, LSK Bldg (70)"
54,Tu,02:00PM - 05:20PM,TBA
55,Th,09:00AM - 12:50PM,TBA
56,Th,09:00AM - 12:50PM,TBA
57,Th,07:00PM - 10:20PM,TBA
58,Tu,07:00PM - 10:20PM,TBA
59,Tu,07:00PM - 10:20PM,TBA
60,Tu,07:00PM - 09:50PM,TBA
61,Th,09:30AM - 12:50PM,"G003, LSK Bldg (70)"
62,Th,02:00PM - 05:20PM,"Rm 2003, LSK Bldg"
63,Tu,02:00PM - 05:20PM,"Rm 2003, LSK Bldg"
64,Th,02:00PM - 05:20PM,"Rm 2003, LSK Bldg"
65,Th,02:00PM - 04:50PM,"Rm 5047, LSK Bldg"
66,Tu,10:30AM - 11:50AM,"Rm 2504, Lift 25-26 (84)"
67,Th,10:30AM - 11:50AM,"Rm 2504, Lift 25-26 (84)"
68,Tu,10:30AM - 11:50AM,"Rm 2504, Lift 25-26 (84)"
69,Th,10:30AM - 11:50AM,"Rm 2504, Lift 25-26 (84)"
70,Tu,04:30PM - 05:50PM,"Rm 1014, LSK Bldg (80)"
71,Th,04:30PM - 05:50PM,"Rm 1014, LSK Bldg (80)"
72,Tu,04:30PM - 05:50PM,"Rm 1014, LSK Bldg (80)"
73,Th,04:30PM - 05:50PM,"Rm 1014, LSK Bldg (80)"
74,Tu,10:30AM - 11:50AM,"Rm 1009, LSK Bldg (80)"
75,Th,10:30AM - 11:50AM,"Rm 1009, LSK Bldg (80)"
76,Tu,10:30AM - 11:50AM,"Rm 1009, LSK Bldg (80)"
77,Th,10:30AM - 11:50AM,"Rm 1009, LSK Bldg (80)"
78,Tu,12:00PM - 01:20PM,"Rm 1009, LSK Bldg (80)"
79,Th,12:00PM - 01:20PM,"Rm 1009, LSK Bldg (80)"
80,Tu,12:00PM - 01:20PM,"Rm 1009, LSK Bldg (80)"
81,Th,12:00PM - 01:20PM,"Rm 1009, LSK Bldg (80)"
82,Mo,09:00AM - 10:20AM,"Rm 1034, LSK Bldg (80)"
83,We,09:00AM - 10:20AM,"Rm 1034, LSK Bldg (80)"
84,We,09:00AM - 10:20AM,"Rm 1034, LSK Bldg (80)"
85,Mo,09:00AM - 10:20AM,"Rm 1034, LSK Bldg (80)"
86,We,09:00AM - 10:20AM,"Rm 1034, LSK Bldg (80)"
87,We,09:00AM - 10:20AM,"Rm 1034, LSK Bldg (80)"
88,Mo,10:30AM - 11:50AM,"Rm 1034, LSK Bldg (80)"
